,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1 day ago,,de_dust2,14:16,,,15,25,5,-10,33,58,0,0,0,0,0,0,0,0,0.69,View Match
1,Wed 5th Oct 22,,de_mirage,8:16,,,15,20,4,-5,53,79,0,0,0,0,0,0,0,0,0.92,View Match
2,Wed 5th Oct 22,,de_dust2,16:7,,,22,16,5,6,64,103,0,0,0,0,1,0,0,0,1.51,View Match
3,Wed 5th Oct 22,,de_cache,16:9,,,20,18,3,2,35,81,0,0,0,0,0,0,2,0,1.14,View Match
4,Wed 5th Oct 22,,de_tuscan,4:16,,,9,20,2,-11,56,48,0,0,0,0,0,0,0,0,0.45,View Match
5,Wed 5th Oct 22,,de_cache,15:15,,,16,23,6,-7,38,66,0,0,0,0,0,0,0,1,0.81,View Match
6,Wed 5th Oct 22,,de_dust2,8:8,,,10,12,3,-2,40,79,0,0,0,0,0,0,0,0,0.89,View Match
7,Wed 5th Oct 22,,de_mirage,12:16,,,16,21,8,-5,44,81,0,0,0,0,1,0,0,1,0.92,View Match
8,Wed 5th Oct 22,,de_dust2,10:16,,,16,21,2,-5,50,76,0,0,0,0,1,0,0,0,0.84,View Match
9,Wed 5th Oct 22,,de_inferno,16:10,,,19,17,3,2,26,67,0,0,0,0,0,0,0,0,1.17,View Match
10,Tue 4th Oct 22,,de_mirage,16:12,,,17,23,6,-6,29,77,0,0,0,0,0,0,0,0,0.92,View Match
11,Tue 4th Oct 22,,de_overpass,10:16,,,19,19,1,0,26,69,0,0,0,0,2,0,0,0,1.07,View Match
12,Tue 4th Oct 22,,de_mirage,11:16,,,10,23,8,-13,50,52,0,0,0,0,0,0,0,0,0.59,View Match
13,Tue 4th Oct 22,,de_dust2,16:5,,,27,12,3,15,37,121,0,0,1,0,2,0,1,1,1.91,View Match
14,Tue 4th Oct 22,,de_dust2,16:8,,,20,15,9,5,55,105,0,0,0,0,0,0,1,0,1.44,View Match
15,Tue 4th Oct 22,,de_overpass,14:16,,,10,22,5,-12,50,52,0,0,0,0,1,0,0,0,0.61,View Match
16,Sun 2nd Oct 22,,de_mirage,16:12,,,32,15,2,17,31,109,0,0,0,1,0,0,0,4,1.73,View Match
17,Sun 2nd Oct 22,,de_mirage,16:5,,,17,14,4,3,47,87,0,0,1,1,0,0,0,0,1.27,View Match
18,Sun 2nd Oct 22,,de_inferno,13:16,,,15,22,4,-7,33,60,0,0,0,0,0,0,0,1,0.82,View Match
19,Sat 1st Oct 22,,de_mirage,8:16,,,22,17,2,5,59,89,0,0,0,0,0,0,2,1,1.33,View Match
20,Sat 1st Oct 22,,de_inferno,16:9,,,14,20,3,-6,43,68,0,0,0,1,0,0,0,0,0.71,View Match
21,Sat 1st Oct 22,,de_dust2,16:10,,,19,16,2,3,26,60,0,0,0,1,0,0,0,1,1.13,View Match
22,Sat 1st Oct 22,,de_cache,4:9,,,12,10,2,2,42,109,0,0,0,0,0,0,0,1,1.38,View Match
23,Sat 1st Oct 22,,de_mirage,16:8,,,19,17,2,2,47,77,0,0,0,0,1,0,0,1,1.12,View Match
24,Sat 1st Oct 22,,de_mirage,16:6,,,18,11,1,7,22,73,0,0,0,0,0,0,0,1,1.35,View Match
25,Sat 1st Oct 22,,de_dust2,9:16,,,17,20,2,-3,35,71,0,0,0,0,0,0,0,1,0.96,View Match
26,Sat 1st Oct 22,,de_mirage,13:16,,,23,21,2,2,52,83,0,0,0,0,2,0,0,2,1.14,View Match
27,Sat 1st Oct 22,,de_dust2,15:15,,,33,16,8,17,30,111,0,0,1,1,0,0,1,3,1.7,View Match
28,Fri 30th Sep 22,,de_mirage,16:7,,,13,15,6,-2,54,65,0,0,1,0,0,0,1,0,1.05,View Match
29,Fri 30th Sep 22,,de_mirage,16:14,,,32,22,7,10,50,117,0,0,0,0,1,0,0,3,1.54,View Match
30,Fri 30th Sep 22,,de_inferno,1:16,,,5,17,0,-12,20,42,0,0,0,0,0,0,0,0,0.13,View Match
31,Fri 30th Sep 22,,de_mirage,4:9,,,9,11,0,-2,78,66,0,0,0,0,0,0,0,0,0.99,View Match
32,Fri 30th Sep 22,,de_overpass,16:11,,,17,17,3,0,59,69,0,0,0,0,0,0,0,0,1.02,View Match
33,Fri 30th Sep 22,,de_mirage,8:16,,,21,16,4,5,57,96,0,0,0,1,0,0,0,1,1.28,View Match
34,Wed 28th Sep 22,,de_overpass,13:16,,,20,21,2,-1,50,70,0,0,0,0,0,0,0,0,0.94,View Match
35,Wed 28th Sep 22,,de_dust2,13:16,,,21,20,4,1,52,91,0,0,0,0,0,0,0,1,1.14,View Match
36,Wed 28th Sep 22,,de_inferno,11:16,,,13,21,2,-8,38,61,0,0,0,0,0,0,0,0,0.68,View Match
37,Wed 28th Sep 22,,de_mirage,3:16,,,9,17,2,-8,56,62,0,0,0,0,0,0,0,0,0.63,View Match
38,Wed 28th Sep 22,,de_cache,11:16,,,14,19,0,-5,36,52,0,0,0,0,0,0,0,0,0.77,View Match
39,Tue 27th Sep 22,,de_cache,14:16,,,25,24,5,1,40,92,0,0,0,0,1,0,0,1,1.21,View Match
40,Tue 27th Sep 22,,de_dust2,16:12,,,28,15,4,13,39,97,0,0,0,1,1,0,0,2,1.55,View Match
41,Tue 27th Sep 22,,de_mirage,16:12,,,25,22,6,3,48,108,0,0,1,0,0,0,2,1,1.28,View Match
42,Tue 27th Sep 22,,de_overpass,16:13,,,18,22,4,-4,56,79,0,0,0,0,0,0,0,1,1,View Match
43,Tue 27th Sep 22,,de_dust2,11:16,,,21,24,6,-3,24,81,0,0,0,0,0,0,0,3,0.98,View Match
44,Tue 27th Sep 22,,de_inferno,16:9,,,22,16,5,6,55,107,0,0,0,0,0,0,1,0,1.35,View Match
45,Tue 27th Sep 22,,de_mirage,5:16,,,10,19,3,-9,40,63,0,0,0,0,0,0,0,0,0.6,View Match
46,Tue 27th Sep 22,,de_mirage,8:8,,,8,13,4,-5,50,74,0,0,0,0,0,0,0,0,0.83,View Match
47,Tue 27th Sep 22,,de_dust2,9:16,,,14,21,4,-7,29,68,0,0,0,1,1,0,0,1,0.75,View Match
48,Tue 27th Sep 22,,de_inferno,15:15,,,22,18,5,4,36,76,0,0,0,1,1,0,0,2,1.18,View Match
49,Tue 27th Sep 22,,de_mirage,16:9,,,15,13,1,2,13,61,0,0,0,0,0,0,0,0,0.98,View Match
50,Tue 27th Sep 22,,de_overpass,16:12,,,17,19,4,-2,41,69,0,0,0,1,1,0,0,1,0.91,View Match
51,Tue 27th Sep 22,,de_dust2,16:13,,,23,20,3,3,52,73,0,0,0,0,1,0,0,2,1.13,View Match
52,Sun 25th Sep 22,,de_overpass,15:15,,,10,18,4,-8,20,48,0,0,0,0,0,0,0,0,0.66,View Match
53,Sun 25th Sep 22,,de_dust2,4:16,,,4,20,6,-16,50,43,0,0,0,0,0,0,0,0,0.16,View Match
54,Sun 25th Sep 22,,de_inferno,16:6,,,17,13,3,4,53,86,0,0,0,0,0,0,0,0,1.31,View Match
55,Sun 25th Sep 22,,de_dust2,16:11,,,17,22,10,-5,41,96,0,0,0,0,0,0,0,1,1.07,View Match
56,Sun 25th Sep 22,,de_inferno,16:10,,,7,19,8,-12,57,56,0,0,0,0,0,0,0,0,0.48,View Match
57,Sun 25th Sep 22,,de_mirage,0:9,,,1,8,1,-7,100,20,0,0,0,0,0,0,0,0,0,View Match
58,Sun 25th Sep 22,,de_mirage,16:10,,,15,23,9,-8,53,79,0,0,0,0,0,0,0,0,0.95,View Match
59,Sun 25th Sep 22,,de_dust2,16:8,,,21,13,3,8,48,94,0,1,0,0,1,0,1,2,1.43,View Match
60,Sun 25th Sep 22,,de_mirage,15:15,,,29,20,2,9,21,88,0,0,0,0,1,0,1,2,1.37,View Match
61,Sun 25th Sep 22,,de_inferno,15:15,,,30,20,3,10,17,89,0,0,0,1,1,0,0,2,1.43,View Match
62,Sat 24th Sep 22,,de_mirage,15:15,,,14,18,5,-4,50,63,0,0,0,1,1,0,0,0,0.81,View Match
63,Sat 24th Sep 22,,de_dust2,15:15,,,20,21,4,-1,30,71,0,0,0,0,1,0,0,1,1.02,View Match
64,Fri 23rd Sep 22,,de_dust2,16:12,,,19,22,6,-3,58,88,0,0,0,0,0,0,0,1,1.06,View Match
65,Fri 23rd Sep 22,,de_inferno,16:14,,,30,23,5,7,57,111,0,0,0,1,0,0,0,2,1.46,View Match
66,Fri 23rd Sep 22,,de_dust2,9:16,,,18,21,4,-3,33,91,0,0,0,0,1,0,0,3,0.99,View Match
67,Fri 23rd Sep 22,,de_mirage,16:4,,,16,9,1,7,38,78,0,0,0,2,1,0,0,0,1.29,View Match
68,Fri 23rd Sep 22,,de_dust2,16:9,,,24,17,3,7,42,102,0,0,0,1,0,1,0,0,1.37,View Match
69,Fri 23rd Sep 22,,de_dust2,14:7,,,18,10,2,8,72,91,0,0,0,1,1,0,0,1,1.48,View Match
70,Fri 23rd Sep 22,,de_dust2,16:14,,,26,20,3,6,27,78,0,0,0,0,1,0,0,1,1.28,View Match
71,Fri 23rd Sep 22,,de_dust2,9:16,,,22,18,1,4,55,71,0,0,0,1,1,0,0,3,1.17,View Match
72,Thu 22nd Sep 22,,de_dust2,16:8,,,16,18,10,-2,50,97,0,0,0,0,0,0,0,1,1.24,View Match
73,Thu 22nd Sep 22,,de_mirage,16:3,,,14,14,5,0,43,84,0,0,0,1,1,0,0,0,1.22,View Match
74,Thu 22nd Sep 22,,de_dust2,13:16,,,24,21,3,3,58,98,0,0,0,0,1,0,1,2,1.17,View Match
75,Thu 15th Sep 22,,de_dust2,16:9,,,22,13,5,9,45,105,0,0,0,1,0,0,0,1,1.46,View Match
76,Thu 15th Sep 22,,de_mirage,15:15,,,22,20,5,2,59,86,0,0,0,0,0,0,0,1,1.1,View Match
77,Wed 14th Sep 22,,de_mirage,16:9,,,23,15,7,8,74,109,0,0,0,1,1,0,1,1,1.48,View Match
78,Wed 14th Sep 22,,de_mirage,11:16,,,14,21,5,-7,36,61,0,0,0,0,1,0,0,1,0.72,View Match
79,Wed 14th Sep 22,,de_inferno,13:16,,,24,23,4,1,46,81,0,0,0,0,1,0,0,1,1.19,View Match
80,Wed 14th Sep 22,,de_mirage,12:16,,,18,23,5,-5,11,73,0,0,0,0,1,0,0,1,0.88,View Match
81,Tue 13th Sep 22,,de_dust2,5:16,,,16,20,4,-4,44,90,0,0,0,0,0,0,0,2,1.05,View Match
82,Tue 13th Sep 22,,de_cache,10:16,,,11,23,6,-12,45,64,0,0,0,0,0,0,0,0,0.58,View Match
83,Tue 13th Sep 22,,de_overpass,16:4,,,14,15,4,-1,50,86,0,0,0,0,0,0,0,1,1.19,View Match
84,Tue 13th Sep 22,,de_mirage,16:3,,,22,11,2,11,50,121,0,0,0,0,0,1,0,0,1.78,View Match
85,Tue 13th Sep 22,,de_nuke,7:16,,,12,19,5,-7,25,67,0,0,0,1,1,0,0,2,0.63,View Match
86,Tue 13th Sep 22,,de_inferno,4:9,,,6,12,3,-6,67,59,0,0,0,0,0,0,0,0,0.58,View Match
87,Tue 13th Sep 22,,de_dust2,16:11,,,18,16,2,2,67,66,0,0,0,0,0,0,0,0,1.06,View Match
88,Tue 13th Sep 22,,de_mirage,16:11,,,16,18,4,-2,38,66,0,0,0,0,0,0,0,0,1.05,View Match
89,Tue 13th Sep 22,,de_dust2,9:1,,,6,6,3,0,67,86,0,0,0,0,0,0,0,0,1.16,View Match
