,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
0,79000009,7656119838717377,8,-1,1,20,17,1,3,1.20,95.5,50%,68.4%,1.31,7,0,9.7s,91,0,2,2,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,3,7
1,79000009,7656119808495600,10,0,1,15,18,3,-3,0.80,112.6,40%,57.9%,1.05,9,0,18.3s,77,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6
2,79000009,7656119936584361,5,0,1,11,19,4,-8,0.60,67.6,64%,52.6%,0.66,11,0,15.9s,150,-5,0,5,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
3,79000009,7656119887410607,,0,1,4,17,1,-13,0.20,20.7,50%,31.6%,0.07,0,0,0s,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
4,79000009,7656119902304439,5,0,1,0,19,3,-19,0.00,27.8,0%,15.8%,-0.25,0,0,0s,0,-6,0,6,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,79000009,7656119825696022,18,0,2,27,8,6,19,3.40,143.6,37%,100%,2.30,2,0,9.2s,73,3,4,1,0,0,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,9
6,79000009,7656119885138378,18,0,2,18,10,3,8,1.80,83.3,39%,84.2%,1.51,0,0,0s,59,2,2,0,0,0,2,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,3,6
7,79000009,7656119834389785,18,0,2,19,13,2,6,1.50,93.1,63%,78.9%,1.45,0,0,0s,15,-1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,9
8,79000009,7656119838790209,18,0,2,15,11,6,4,1.40,101.3,33%,84.2%,1.42,1,0,0.9s,63,7,9,2,4,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,9
0,79000008,7656119812748748,13,0,1,15,17,4,-2,0.90,93,67%,63.2%,1.05,10,0,27.2s,46,-5,1,6,1,5,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5
